,Dns_SMILES,Experimental_RT,Predicted_RT
170,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@H](C(O)=O)CCSC,13.87,12.92
174,O[C@@H](CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC[C@H](NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(O)=O,13.88,13.26
162,CCCC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O,14.11,12.54
213,O=C(O)[C@H](CSSC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,14.11,14.88
119,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CS)=O,14.12,10.16
202,CN(C)C1=C(C=CC=C2S(N3C=CN=C3)(=O)=O)C2=CC=C1,14.29,14.47
186,CC(NCCC1=CNC2=C1C=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)=O,14.32,14.05
196,O=C(O)C(O)CC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,14.39,14.33
197,CC(CC(/N=C(O)/C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CNC4=CC=CC=C34)C(O)=O)C,14.6,14.34
211,CN(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C,15.07,14.82
141,SCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,15.08,11.4
207,OC(CC1=CNC2=C1C=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)=O,15.09,14.6
216,OC(C(C[Se][Se]CC(C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,15.09,15
217,O[C@@H](C1=CC=CC=C1)[C@@H](C)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,15.13,15.13
194,N=C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NCCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,15.28,14.29
161,O=C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CN=C(O)C=C3,15.32,12.47
203,O=C(C(CC1=CNC2=C1C=CC=C2)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)NC(C(O)=O)CC5=CC=CC=C5,15.36,14.48
208,CN1C2=C(N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=N2)C(N(C)C1=O)=O,15.42,14.64
209,OCCC1=CNC2=CC=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C21,15.55,14.71
249,O=C(O)C1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC=C1,15.62,18.05
228,OC([C@H](CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,15.65,16.45
242,O=C(O)C1=CC=C(OC)C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1,15.69,17.63
214,CC(CC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)/C(O)=N/C(C(O)=O)CC3=CNC4=CC=CC=C34)C,15.77,14.88
222,O=C(O)C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,15.8,16.01
198,O=C(O)[C@@H](CCSSCCC(C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,15.82,14.35
259,CC(C[C@H](N(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=CC=C3)C(O)=O)C,15.9,18.91
212,O=CC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=C,16.29,14.83
219,NC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,16.3,15.74
236,OC(C1=C(C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)O)=O,16.31,17.26
232,O=C(C)NC(C=C1)=CC=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,16.35,17.02
244,OC(C(C=C1OC)=C(C=C1)OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,16.38,17.74
230,O=C(O)CC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC=C1,16.42,16.75
239,COC1=CC(CC(O)=O)=CC=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,16.51,17.38
227,COC(C=C1)=CC2=C1NC=C2CCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,16.52,16.29
218,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@H](C(O)=O)CC4=CC=CC=C4,16.55,15.57
224,O=C(O)[C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,16.58,16.09
220,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(C)C)N[C@H](C(O)=O)CC3=CC=CC=C3,16.59,15.85
204,O=C(O)C1=CC=CC=C1NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,16.62,14.52
231,OC(CC1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)=O,16.72,16.92
253,CC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(C(O)=O)=CC=C1,16.8,18.4
235,CN(C)C1=C(C=CC=C2S(=O)(OC3=CC=C(CC(O)=O)C=C3)=O)C2=CC=C1,16.91,17.19
233,OC(C1=C(C=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1)O)=O,17.11,17.14
251,CN(C)C1=C(C=CC=C2S(NC3=CC=CC=C3)(=O)=O)C2=CC=C1,17.32,18.31
240,O=C(O)C1=CC(OC)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,17.34,17.57
223,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,17.47,16.02
254,OC(/C=C/C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C(OC)C=C1)=O,17.49,18.42
238,OC(C1=CC=C(C=C1)OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,17.57,17.29
229,CC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C4=C(COC4)C=N1,18.01,16.75
226,CN(C)C1=C(C=CC=C2S(NCCC3=CNC4=C3C=CC=C4)(=O)=O)C2=CC=C1,18.03,16.26
234,OC(CCC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)=O,18.04,17.16
245,COC1=CC(C(O)=O)=CC(OC)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,18.1,17.83
256,OC(/C=C/C1=CC(OC)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)=O,18.47,18.57
266,OC(/C=C/C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)=O,18.51,19.44
221,CN(C1=NC=NC2=C1N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=N2)C,18.56,15.99
270,CC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=CC=C3,18.63,20.02
258,IC1=C(OC2=CC(I)=C(O)C=C2)C(I)=CC(C[C@H](NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(O)=O)=C1,19.14,18.6
237,OC(C1=CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C4=CC=CC=C41)=O,19.27,17.28
257,O[C@@H](C1=CC=CC=C1)[C@H](C)N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C,19.38,18.57
247,O=C(O)C1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(C)=C1,19.43,17.89
243,O=C(/C=C/C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C(O)C=C1)O[C@@H]4C[C@](O)(C(O)=O)C[C@@H](O)[C@H]4O,19.45,17.73
280,OCC(C=N1)=C(CNS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C1C,19.47,21.58
241,O=C(N[C@H](C(N[C@H](C(O)=O)CC1=CC=CC=C1)=O)CC2=CC=CC=C2)[C@@H](NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)CC5=CC=CC=C5,19.95,17.57
225,O=C(C(C=C1)=CC=C1NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)OCC,20.08,16.12
261,O=C([C@H](CC1=CC=C(C=C1)OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)NCC(O)=O,20.19,18.92
269,O=C(O)[C@H](CC1=CNC2=C1C=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)NS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O,20.29,19.96
298,C[C@@]12[C@@H](O)[C@H](O)C[C@@]1([H])[C@@]3([H])[C@@]([H])(C(C=CC(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C6)=C6CC3)CC2,20.36,23.24
263,CN(C)C1=C(C=CC=C2S(=O)(NCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O)C2=CC=C1,20.49,18.96
246,OC(/C=C/C1=CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C4=C1C=CC=C4)=O,20.61,17.85
248,O=C1C[C@@H](C(C1)C)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,20.77,17.98
271,CC(C(O)=O)NC(C(CC1=CC=C(C=C1)OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,20.86,20.05
265,O=C([C@@]1(C[C@H]([C@H]([C@@H](C1)OC(/C=C/c2cc(O)c(OS(C3=CC=CC4=C3C=CC=C4N(C)C)(=O)=O)cc2)=O)O)O)O)O,21.24,19.18
260,CN(C)C1=C(C=CC=C2S(NCCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)(=O)=O)C2=CC=C1,21.27,18.92
252,O[C@@H](C1=CC(OC)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C4=C1)C4=O,21.31,18.32
255,O=C(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)N[C@H](C(O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3,21.63,18.52
293,O=CC1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1,21.64,22.89
268,OC(C1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C1)C(O)=O,21.73,19.94
272,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)N[C@H](C(O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3,21.85,20.22
267,OC(COC(C=C1)=CC=C1CCOC)CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(C)C,22.09,19.68
279,OC(C(CC1=CC=CC=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,22.38,21.52
275,N=C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C,22.52,21.06
283,COC(C=CC=C1)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,22.54,21.92
273,[O-][N+](C1=CC(C[C@@H](C(O)=O)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,22.61,20.61
297,[O-][N+](C1=C2C(C[C@@H](C2=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=CC=C1OS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O)=O,22.61,23.1
277,OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)=O,22.65,21.32
282,CC(C(/N=C(O)/C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)C(O)=O)C,22.83,21.82
295,CN(C)C1=C(C=CC=C2S(OC3=CC=CC=C3)(=O)=O)C2=CC=C1,23.16,23.03
300,O=C(C(CC1=CNC2=C1C=CC=C2)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)NC(C(O)=O)CC5=CC=C(C=C5)OS(C6=CC=CC7=C(N(C)C)C=CC=C76)(=O)=O,23.25,23.34
278,OC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C(OC)=C3,23.41,21.35
305,[O-][N+](C1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)=O,23.45,23.91
274,OC(C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC(Cl)=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)=O,23.57,20.72
285,COC1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC(OC)=C1,23.75,22.15
286,CC(CC(/N=C(O)/C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)C(O)=O)C,23.77,22.42
291,O=C(O)CC1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C1,23.9,22.8
299,C[C@@]12[C@H](O)[C@H](O)C[C@@]1([H])[C@@]3([H])[C@@]([H])(C(C=CC(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C6)=C6CC3)CC2,23.93,23.24
294,O=C(C(CC(C)C)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NC(C(O)=O)CC3=CC=C(C=C3)OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O,23.98,22.96
276,OC(C1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(O)=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C1)=O,24.1,21.2
290,O=C(O)[C@@](CC1=CC(I)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(I)=C1)([H])NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O,24.18,22.61
302,O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@H](C(O)=O)CC4=CC=C(OS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O)C=C4,24.22,23.6
307,CC1=CC=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1,24.44,24.04
296,OC(C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C(C=C1)OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,24.51,23.03
308,CC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,24.54,24.25
303,CC1=CC=CC=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,24.6,23.81
289,CN(C)C1=C(C=CC=C2S(OC3=CC(C(CCNS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=CN6)=C6C=C3)(=O)=O)C2=CC=C1,24.65,22.52
292,OC(C1=C(C=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1)OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,24.69,22.89
288,OC(CC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C1)=O,24.84,22.51
281,OC(COC1=CC=CC2=CC=CC=C12)CN(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(C)C,24.95,21.79
311,CN(C)C1=C(C=CC=C2S(OC3=CC=C(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)(=O)=O)C2=CC=C1,25.04,25.02
312,O[C@H](C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)CN(S(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C,25.39,25.08
287,O=C(O)[C@H](CC1=CC=C(C=C1)OC2=CC=C(C=C2)OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)NS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O,25.44,22.48
309,CN(C)C1=C(C=CC=C2S(=O)(NCCC3=CC(OC)=C(C=C3)OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O)C2=CC=C1,25.49,24.56
304,CCC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,25.63,23.82
306,CN(C)C1=C(C=CC=C2S(OC3=CC=C(CCNS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)(=O)=O)C2=CC=C1,25.83,23.92
310,ClC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(Cl)=C1,26.3,24.61
301,O=C(O)C1=NC2=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=CC=C2C(OS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O)=C1,26.34,23.58
314,CN(C)C1=C(C=CC=C2S(OC3=CC=CC=C3OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)(=O)=O)C2=CC=C1,26.7,26.52
313,IC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(I)=CC(OC4=C(I)C=C(C[C@H](NS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O)C(O)=O)C=C4I)=C1,27.74,26.03
