,Experimental_RT,Predicted_RT
104,15.09,13.920000076293945
105,6.59,6.170000076293945
106,6.0,5.03000020980835
107,16.31,15.949999809265135
108,13.87,13.869999885559082
109,4.2,5.989999771118164
110,13.69,14.09000015258789
111,20.08,15.15999984741211
112,13.13,12.970000267028807
113,6.8,7.119999885559082
114,13.88,13.06999969482422
115,5.71,7.21999979019165
116,20.49,18.09000015258789
117,13.23,10.6899995803833
118,3.0,3.309999942779541
119,21.24,19.18000030517578
120,18.56,15.010000228881836
121,3.02,3.2699999809265137
122,7.25,6.75
123,18.01,15.899999618530273
124,9.82,8.670000076293945
125,5.87,3.7300000190734863
126,6.97,7.78000020980835
127,14.11,14.18000030517578
128,11.59,12.369999885559082
129,8.29,9.890000343322754
130,8.67,8.729999542236326
131,14.39,13.989999771118164
132,11.37,12.510000228881836
133,19.14,18.299999237060547
134,15.65,15.329999923706055
135,11.82,11.84000015258789
136,10.81,10.579999923706056
137,16.35,16.040000915527347
138,15.32,12.449999809265135
139,15.13,14.729999542236328
140,15.29,20.84000015258789
141,3.0,4.050000190734863
142,7.07,11.359999656677244
143,10.52,11.25
144,12.74,11.779999732971193
145,3.05,3.5799999237060547
146,1.59,1.0099999904632568
147,13.77,12.5600004196167
148,10.82,9.3100004196167
149,8.27,7.769999980926514
150,11.19,11.369999885559082
151,8.59,8.409999847412111
152,9.57,9.25
153,13.2,14.149999618530273
154,9.79,11.5
155,1.49,1.75
156,9.65,9.59000015258789
157,12.01,14.210000038146973
158,10.07,10.529999732971193
159,2.17,7.880000114440918
160,14.12,9.890000343322754
161,10.58,11.270000457763672
162,1.79,2.1300001144409184
163,9.51,9.300000190734863
164,17.62,11.859999656677244
165,1.28,1.9600000381469729
166,7.84,6.960000038146973
167,5.16,5.039999961853027
168,4.4,4.2100000381469735
169,8.87,8.930000305175781
170,11.36,10.960000038146973
171,26.7,24.63999938964844
172,7.68,7.630000114440918
173,16.51,16.200000762939453
174,24.54,21.81999969482422
175,18.04,16.020000457763672
176,10.77,12.449999809265135
177,2.94,3.6800000667572017
178,16.72,15.579999923706055
179,15.8,15.369999885559082
180,18.51,17.479999542236328
181,3.32,5.010000228881836
182,22.09,19.26000022888184
183,5.85,6.329999923706055
