Dns_SMILES,Experimental_RT,Predicted_RT
NC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N,3,3.73
OC(COC1=CC=CC2=CC=CC=C12)CN(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(C)C,24.95,21.79
OCCC1=CNC2=CC=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C21,15.55,14.71
OC(C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C(C=C1)OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,24.51,23.03
CC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,24.54,24.25
O=C(C)NC(C=C1)=CC=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,16.35,17.02
CN1C(CCNS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CN=C1,3.27,6.92
OC(C1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C1)C(O)=O,21.73,19.94
O=C(C(C=C1)=CC=C1NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NCC(O)=O,8.38,8.8
OC(C(C=C1OC)=C(C=C1)OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,16.38,17.74
OC(C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC(Cl)=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)=O,23.57,20.72
CN1C2=C(N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=N2)C(N(C)C1=O)=O,15.42,14.64
OC(C1=CC(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)=O,11.76,13.64
O=C(O)C[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(N[C@H](C(OC)=O)CC3=CC=CC=C3)=O,13.72,10.78
O=C(O)C1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC=C1,15.62,18.05
OC(CCCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,10.21,9.78
[O-][N+](C1=CC(C[C@@H](C(O)=O)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,22.61,20.61
[O-][N+](C1=C2C(C[C@@H](C2=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=CC=C1OS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O)=O,22.61,23.1
CC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)(C(O)=O)C,8.91,9.42
OC(P(O)(O)=O)(CCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)P(O)(O)=O,1.59,2.74
IC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(I)=CC(OC4=C(I)C=C(C[C@H](NS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O)C(O)=O)C=C4I)=C1,27.74,26.03
OC(COC1=CC=C(CC(N)=O)C=C1)CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(C)C,11.91,13.14
OC(COC(C=C1)=CC=C1CCOC)CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(C)C,22.09,19.68
OC(C(C=C1)=CC(CO)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)CNC(C)(C)C,8.27,8.39
CC(C)(C)NCC(C(C=C1)=C2)OCC2=C1OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,8.42,11.73
O=C([C@H](CCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)N[C@H](C(O)=O)CCC3=CC=CC=C3)N4[C@H](C(O)=O)CCC4,7.68,8.05
O[C@@H](C1=CC=CC=C1)[C@@H](C)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,15.13,15.13
O[C@@H](C1=CC=CC=C1)[C@H](C)N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C,19.38,18.57
O=C(O)/C=C/C1=CC(O)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,24.64,18.94
OC(C1=C(C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)O)=O,12.22,13.7
CS(CC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,3.72,7.68
CS(CC[C@H](N)C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)=O,4.2,7.99
OC([C@H](CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,15.65,16.45
CC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=CC=C3,18.63,20.02
OC(CC1=CN=CN1S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,11.12,10.78
CC1=CC=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1,24.44,24.04
CC1=CC=CC=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,24.6,23.81
O=C(C)NCCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,7.25,7.76
COC1=CC(C(O)=O)=CC(OC)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,18.1,17.83
CN(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=NC=NC4=C3NC=N4,12.22,12.18
CNC1=NC=NC2=C1N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=N2,12.74,12.84
CSC[C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O,9.37,9.48
O=C1N=C(NC(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1)N,8.95,8.54
OC(C(C)(C)N(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)=O,13.65,13.46
O[C@H](C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)CN(S(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C,25.39,25.08
OC(CCC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)=O,18.04,17.16
O=S(CC[C@@H](C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)(O)=O,1.64,4.74
OC(C(C1=CC=CC=C1)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,11.69,13.58
CN(C)C1=C(C=CC=C2S(NCCCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)(=O)=O)C2=CC=C1,22.39,18.19
OC([C@H](CC1=CNC2=C1C=C(C=C2)OC)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,9.79,12.06
O=C(O)C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,15.8,16.01
CC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(C(O)=O)=CC=C1,16.8,18.4
OC([C@@H](CC(O)=O)N(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)=O,7.53,8.31
OC(C1=CN=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)=O,12.21,12.75
O=C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CN=C(O)C=C3,15.32,12.47
O=C(C[C@@H](C1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)O4)C5=C4C=C(OS(C6=CC=CC7=C(N(C)C)C=CC=C76)(=O)=O)C=C5O,15.29,22.11
N[C@H](C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)CCONC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=N,11.37,12.35
N=C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NOCC[C@@H](C(O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,11.59,12.3
SCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,15.08,11.4
CN(C)C1=C(C=CC=C2S(NC3=CC=CC=C3)(=O)=O)C2=CC=C1,17.32,18.31
OC([C@H](CCCCNC(CCCC[C@@H]1SC[C@]2([H])NC(N[C@]12[H])=O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,6.72,7.41
OC([C@H](CC(O)=O)NC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N)=O,2.81,3.48
O=C(/C=C/C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C(O)C=C1)O[C@@H]4C[C@](O)(C(O)=O)C[C@@H](O)[C@H]4O,19.45,17.73
O=C([C@@]1(C[C@H]([C@H]([C@@H](C1)OC(/C=C/c2cc(O)c(OS(C3=CC=CC4=C3C=CC=C4N(C)C)(=O)=O)cc2)=O)O)O)O)O,21.24,19.18
O=C1N(C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=NC4=C1NC=N4)C,9.57,9.94
OC(C1=CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C4=CC=CC=C41)=O,19.27,17.28
CN/C(NCCC[C@@H](C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N\C,3.05,3.91
O=C([C@H](CSSC[C@@H](C(NCC(O)=O)=O)NC(CC[C@@H](C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)NC(CC[C@@H](C(O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O)NCC(O)=O,8.07,14.3
ONS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,12.02,9.7
OC(CCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,8.68,8.73
OC([C@@H](CCC(N)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,3.32,5.94
OC[C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CNC=N3,1.44,7.42
OC(CCCNC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N)=O,3.65,4.51
N=C(N1CCCC1=O)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,11,7.04
OC1=C(I)C=C(C=C1I)C[C@](C(O)=O)([H])NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,11.82,13.31
O=C(O)[C@@](CC1=CC(I)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(I)=C1)([H])NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O,24.18,22.61
OC(C[C@@H](C(C)C)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,10.78,12.16
O=C1C[C@@H](C(C1)C)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,20.77,17.98
OC(C(C)CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,8.67,9.21
O=CC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=C,16.29,14.83
COC(C=C1)=CC2=C1NC=C2CCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,16.52,16.29
OC(C(C[Se][Se]CC(C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,15.09,15
OCCN(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCO,5.49,4.6
ClC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(Cl)=C1,26.3,24.61
O=C(O)C1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(C)=C1,19.43,17.89
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(O)=O)N[C@H](C(O)=O)CCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,13.61,12.22
O=C(C(C=C1)=CC=C1NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)OCC,20.08,16.12
OC(C(CC1=CC=CC=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,22.38,21.52
O=C(N1CCC[C@H]1C(O)=O)[C@@H](NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)CC4=CC=CC=C4,13.13,12.92
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCC(N[C@H](C(O)=O)CCC(O)=O)=O)=O,3.44,5.48
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(C)C)N[C@H](C(O)=O)CC3=CC=CC=C3,16.59,15.85
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@H](C(O)=O)CC4=CC=CC=C4,16.55,15.57
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)N[C@H](C(O)=O)CC3=CNC=N3,17.62,12.68
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)N[C@H](C(O)=O)CC(C)C,11.36,11.43
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)N[C@H](C(O)=O)CC3=CC=CC=C3,12.11,12.05
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)N[C@@H](CC3=CNC4=C3C=CC=C4)C(O)=O,11.09,11.6
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C)N[C@H](C(O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3,21.85,20.22
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCNC(N)=N)N[C@H](C(O)=O)CC3=CC=CC=C3,6.8,6.9
CCC(C(/N=C(O)/CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)C,10.78,11.65
O/C(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=N\C(C(O)=O)CC3=CC=CC=C3,11.65,9.79
O=C(O)C(NC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)CC3=CNC4=CC=CC=C43,11.19,10.7
O=C(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)N[C@H](C(O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3,21.63,18.52
O=C(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)N[C@H](C(O)=O)C(C)C,9.19,9.44
OC([C@H](C)NC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CN=CN3)=O)=O,16.69,11.74
CC(C)C[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(N3CCC[C@H]3C(O)=O)=O,12.99,14.26
CC(CC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)/C(O)=N/C(C(O)=O)CC3=CNC4=CC=CC=C34)C,15.77,14.88
O=C(C(CC(C)C)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NC(C(O)=O)CC3=CC=C(C=C3)OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O,23.98,22.96
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@@H](C)C(O)=O,10.58,11.06
OC(CNC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)=O)=O,9.43,9.34
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@H](C(O)=O)CCSC,13.87,12.92
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@H](C(O)=O)CC4=CC=C(OS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O)C=C4,24.22,23.6
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=CC=C3)N[C@H](C(O)=O)C(C)C,13.62,14.19
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CO)N[C@H](C(O)=O)CC(C)C,8.9,9.63
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CO)N[C@H](C(O)=O)CC3=CC=CC=C3,9.38,9.83
OC([C@H](CC(C)C)NC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)[C@H](O)C)=O)=O,10.18,10.46
O=C(NC(C(O)=O)CCC(O)=O)C(CC1=CNC2=C1C=CC=C2)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,8.29,9.48
CC(CC(/N=C(O)/C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CNC4=CC=CC=C34)C(O)=O)C,14.6,14.34
O=C(C(CC1=CNC2=C1C=CC=C2)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)NC(C(O)=O)CC5=CC=CC=C5,15.36,14.48
O=C(C(CC1=CNC2=C1C=CC=C2)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)NC(C(O)=O)CC5=CC=C(C=C5)OS(C6=CC=CC7=C(N(C)C)C=CC=C76)(=O)=O,23.25,23.34
CC(C(O)=O)NC(C(CC1=CC=C(C=C1)OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=O,20.86,20.05
O=C([C@H](CC1=CC=C(C=C1)OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)NCC(O)=O,20.19,18.92
CC(CC(/N=C(O)/C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)C(O)=O)C,23.77,22.42
CC(C(/N=C(O)/C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)C(O)=O)C,22.83,21.82
CCC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,25.63,23.82
OC(C1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(O)=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C1)=O,24.1,21.2
COC1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC(OC)=C1,23.75,22.15
O=C(O)C1=CC=C(OC)C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1,15.69,17.63
CN(C)C1=C(C=CC=C2S(=O)(NCC(NCC(NCC(NCC(O)=O)=O)=O)=O)=O)C2=CC=C1,3.39,3.68
CN(C)C1=C(C=CC=C2S(=O)(N[C@H](C(NCC(NCC(O)=O)=O)=O)CC3=CNC4=CC=CC=C43)=O)C2=CC=C1,7.6,8.28
CCCC(NC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)C(O)=O,9.51,9.53
CCCCC(NC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)C(O)=O,11.36,10.43
CC(C[C@H](N(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=CC=C3)C(O)=O)C,15.9,18.91
O=C(N[C@H](C(N[C@H](C(O)=O)CC1=CC=CC=C1)=O)CC2=CC=CC=C2)[C@@H](NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)CC5=CC=CC=C5,19.95,17.57
