Dns_SMILES,Experimental_RT,Predicted_RT
O=C([C@H]([C@@H](C)O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)O,5.79,6.05
OC([C@H](CC(N)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,3,4.45
O=C(NC1=O)[C@@H](C1)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,6.4,8.69
OC([C@H]([C@@H](C)CC)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,13.06,13.63
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CN=CN3)=O,18.09,11.62
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,17.47,16.02
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CO)=O,4.4,4.7
OC([C@H](CC(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,5.16,5.64
O=C(O)[C@H](CSSC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,14.11,14.88
O=C(O)[C@H](CCCCNC(C)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,5.71,8.1
O[C@H](C(C)(C)COS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(NCCC(O)=O)=O,8.37,11.12
O=C(O)[C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCNS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,16.58,16.09
CN(C)C1=C(C=CC=C2S(=O)(NCCOP(O)(O)=O)=O)C2=CC=C1,2.02,2.83
CN(C)C1=C(C=CC=C2S(OC3=CC=CC=C3)(=O)=O)C2=CC=C1,23.16,23.03
O=C1N=C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NC4=C1N=C(C([C@@H](O)C)=O)CN4,10.14,7.53
OCC(C=NC(C)=C1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C1CO,10.12,10.71
CC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C4=C(COC4)C=N1,18.01,16.75
O=S(CCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)(O)=O,2.24,4.6
CN(C)C1=C(C=CC=C2S(OC3=CC(C(CCNS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=CN6)=C6C=C3)(=O)=O)C2=CC=C1,24.65,22.52
CC1=CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(NC1=O)=O,13.21,12.02
IC1=C(OC2=CC(I)=C(O)C=C2)C(I)=CC(C[C@H](NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(O)=O)=C1,19.14,18.6
CN(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(O)=O,9.34,8.09
OC(CC[C@@H](C(O)=O)NCCCC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,2.26,4.83
O=C(OC1=O)CC[C@H]1NCCCC[C@H](NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C(O)=O,5.65,8.38
O[C@@H](C1=CC(OC)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)C(O)=O,12.81,14.58
O[C@@H](C1=CC(OC)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C4=C1)C4=O,21.31,18.32
O=C(N1)C(N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=N4)=C4NC1=O,8.95,9.47
O[C@H]([C@@H]1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)[C@@H](O[C@@H]1CO)N(C=CC4=O)C(N4)=O,7.84,7.34
O[C@H]([C@@H]1OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)[C@@H](OC1=C)N(C=CC4=O)C(N4)=O,8.67,10.93
O=C1N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC(N1)=O,11.34,11.04
OC(/C=C/C1=CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=N1)=O,13.52,12.38
CN(C)C1=C(C=CC=C2S(NCCC3=CNC4=C3C=CC=C4)(=O)=O)C2=CC=C1,18.03,16.26
CN(C)C1=C(C=CC=C2S(OC3=CC=C(CCNS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C=C3)(=O)=O)C2=CC=C1,25.83,23.92
C[C@@]12[C@H](O)[C@H](O)C[C@@]1([H])[C@@]3([H])[C@@]([H])(C(C=CC(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=C6)=C6CC3)CC2,23.93,23.24
O=C(O)C(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CP(O)(O)=O,1.69,3.13
OC(C1=C(C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)O)=O,16.31,17.26
OC(CC1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1)=O,16.72,16.92
CC(N[C@H](C(O)=O)CCCCNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O,6.79,7.57
O[C@@H](CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC[C@H](NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(O)=O,13.88,13.26
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC)=O,9.13,9.67
O=C(O)[C@H](CCSCC(NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,13.33,14.23
N[C@@H](CCSCC(N)C(OS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)=O)C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=O,13.61,14.38
O=C1C2=NC([C@@H](O)[C@@H](O)C)=CNC2=NC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=N1,6.03,7.25
CN(C)C(C=CC=C12)=C1C=CC=C2S(=O)(N(C=C(CO)C(N3)=O)C3=O)=O,8.87,8.91
CN(C1=NC=NC2=C1N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=N2)C,18.56,15.99
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC3=CN=CN3C)=O,2.01,6.88
O=C(O)C1=CC(OC)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,17.34,17.57
OC(C1=CC=C(C=C1)OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,17.57,17.29
O=C(O)[C@H](CC1=CNC2=C1C=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)NS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O,20.29,19.96
O=C(O)[C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCC(O)=O,5.97,8.3
O=C([C@H](CCCNC(N)=N)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)O,2.44,3.84
CC[C@H]([C@@H](C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C,13.2,13.63
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CS)=O,14.12,10.16
O[C@H]([C@@H](COS(O)(=O)=O)O[C@H]1O)[C@@H]([C@H]1NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)O,1.79,3.36
OC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C([C@@H](O)CNC)C=C1,6.19,9.16
OC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC([C@@H](O)CNC)=C1,7.2,8.85
OC1=C(O)C=C([C@@H](O)CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C)C=C1,8.59,9.19
O=C1N=CC=C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)N1,7.58,9.33
NC(CC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,3.32,5.94
OC([C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC)=O,9.23,9.67
O=C(O)[C@H](CC1=CC=C(C=C1)OC2=CC=C(C=C2)OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)NS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O,25.44,22.48
O=C(O)CC1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC=C1,16.42,16.75
OC([C@@H](N)CCCCN(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(N)=N)=O,3,3.41
O=C(O)[C@@H](CCSSCCC(C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,15.82,14.35
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCCCNC(N)=O)=O,4.47,4.29
O=C(C1=CC=CC=C1N)C[C@@H](C(O)=O)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,11.44,11.6
O=C(C1=CC=CC=C1NC2=O)C[C@H]2NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,11.97,14.17
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(C)C)=O,13.36,12.82
OC([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CCSC)=O,10.89,10.6
O=C1C(N=C2)=C(N(S(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C(N)=N1)NC2=O,9.55,10.02
O=C1C(N=C2)=C(NC(NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)=N1)NC2=O,10.82,10.34
O=C([C@@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(O)=O)N[C@H](C(O)=O)CC3=CC=CC=C3,10.07,10.41
O=C(N(S(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)CC(O)=O)C3=CC=CC=C3,7.07,12.05
O=C(O)[C@H]1N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)CCCC1,13.45,11.48
OCC[C@@H](C(O)=O)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O,4.05,6.28
O=C1[C@H](CCO1)NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,9.26,10.81
O=C(N1CCC[C@H]1C(O)=O)CNS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O,7.17,7.54
OC([C@@H]1C[C@@H](O)CN1S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=O,5.17,8.2
OC(/C=C/C1=CN(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C4=C1C=CC=C4)=O,20.61,17.85
OC(C(O)=O)C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1,12.94,14.54
O=CC1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=CC=C1,21.64,22.89
O=C(O)C(O)CC1=CC=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1,14.39,14.33
O=C(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)N[C@H](C(O)=O)CC(C)C,11.22,10.06
OC(CC1=CNC2=C1C=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=C2)=O,15.09,14.6
OC(CNS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C3=CC=C(OS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)C(OC)=C3,23.41,21.35
OC(CNC(C1=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=CC=C1)=O)=O,11.05,10.25
OC1=CC(C(O)=O)=NC2=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=CC=C12,9.06,14.24
O=C(O)C1=NC2=C(OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)C=CC=C2C(OS(C5=CC=CC6=C(N(C)C)C=CC=C65)(=O)=O)=C1,26.34,23.58
O=C([C@H](C(C)C)NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)O,10.81,11.23
O[C@@H]([C@H](N1C=C(C)C(N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C1=O)=O)O[C@@H]4CO)[C@@H]4O,5.85,6.83
O[C@@H]([C@H](N1C=C(C)C(NC1=O)=O)O[C@@H]2CO)[C@@H]2OS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O,8.54,7.77
O[C@@H]([C@H](N1C=C(C)C(N(S(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C1=O)=O)OC4=C)[C@@H]4O,9.39,10.35
O=C1N=C(NS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)NC4=C1N(C)C=N4,10.32,9.64
NC(NCCC[C@H](NS(C1=CC=CC2=C(N(C)C)C=CC=C21)(=O)=O)C(O)=O)=O,3.74,4.11
O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N(C=N2)C3=C2C(NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)=NC=N3,4.58,4.16
O=C([C@H](CC1=CNC2=C1C=CC=C2)NS(C3=CC=CC4=C(N(C)C)C=CC=C43)(=O)=O)O,11.44,12.85
O[C@@H]1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3NS(C4=CC=CC5=C(N(C)C)C=CC=C54)(=O)=O)CSCC[C@H](NS(C6=CC=CC7=C(N(C)C)C=CC=C76)(=O)=O)C(O)=O)O,10.52,11.23
OC(/C=C/C1=CC(OC)=C(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)C=C1)=O,18.47,18.57
OC(/C=C/C1=CC(OS(C2=CC=CC3=C(N(C)C)C=CC=C32)(=O)=O)=C(OC)C=C1)=O,17.49,18.42
